Time (minutes),Temperature (°C),% Totality
-60,25.0,0
-59,24.9,1
-58,24.8,2
-57,24.7,3
-56,24.6,4
-55,24.5,5
-54,24.4,6
-53,24.3,7
-52,24.2,8
-51,24.1,9
-50,24.0,10
-49,23.9,11
-48,23.8,12
-47,23.7,13
-46,23.6,14
-45,23.5,15
-44,23.4,16
-43,23.3,17
-42,23.2,18
-41,23.1,19
-40,23.0,20
-39,22.9,21
-38,22.8,22
-37,22.7,23
-36,22.6,24
-35,22.5,25
-34,22.4,26
-33,22.3,27
-32,22.2,28
-31,22.1,29
-30,22.0,30
-29,21.9,31
-28,21.8,32
-27,21.7,33
-26,21.6,34
-25,21.5,35
-24,21.4,36
-23,21.3,37
-22,21.2,38
-21,21.1,39
-20,21.0,40
-19,20.9,41
-18,20.8,42
-17,20.7,43
-16,20.6,44
-15,20.5,45
-14,20.4,46
-13,20.3,47
-12,20.2,48
-11,20.1,49
-10,20.0,50
-9,19.9,55
-8,19.8,60
-7,19.7,65
-6,19.6,70
-5,19.5,75
-4,19.4,80
-3,19.3,85
-2,19.2,90
-1,19.1,95
0,19.0,100
1,19.1,95
2,19.2,90
3,19.3,85
4,19.4,80
5,19.5,75
6,19.6,70
7,19.7,65
8,19.8,60
9,19.9,55
10,20.0,50
11,20.1,45
12,20.2,40
13,20.3,35
14,20.4,30
15,20.5,25
16,20.6,20
17,20.7,15
18,20.8,10
19,20.9,5
20,21.0,0
21,21.1,0
22,21.2,0
23,21.3,0
24,21.4,0
25,21.5,0
26,21.6,0
27,21.7,0
28,21.8,0
29,21.9,0
30,22.0,0
31,22.1,0
32,22.2,0
33,22.3,0
34,22.4,0
35,22.5,0
36,22.6,0
37,22.7,0
38,22.8,0
39,22.9,0
40,23.0,0
