Time (minutes),Temperature (°C),% Totality
-60,25.0,0
-59,24.9,2
-58,24.9,4
-57,24.8,6
-56,24.8,8
-55,24.8,10
-54,24.7,12
-53,24.7,14
-52,24.7,16
-51,24.6,18
-50,24.6,20
-49,24.6,22
-48,24.5,24
-47,24.5,26
-46,24.5,28
-45,24.4,30
-44,24.4,32
-43,24.4,34
-42,24.3,36
-41,24.3,38
-40,24.3,40
-39,24.2,42
-38,24.2,44
-37,24.2,46
-36,24.1,48
-35,24.1,50
-34,24.1,52
-33,24.0,54
-32,24.0,56
-31,24.0,58
-30,23.9,60
-29,23.9,62
-28,23.9,64
-27,23.8,66
-26,23.8,68
-25,23.8,70
-24,23.7,72
-23,23.7,74
-22,23.7,76
-21,23.6,78
-20,23.6,80
-19,23.6,82
-18,23.5,84
-17,23.5,86
-16,23.5,88
-15,23.4,90
-14,23.4,92
-13,23.4,94
-12,23.3,96
-11,23.3,98
-10,23.3,100
-9,23.2,98
-8,23.2,96
-7,23.2,94
-6,23.1,92
-5,23.1,90
-4,23.1,88
-3,23.0,86
-2,23.0,84
-1,23.0,82
0,22.9,80
1,22.9,78
2,22.9,76
3,22.8,74
4,22.8,72
5,22.8,70
6,22.7,68
7,22.7,66
8,22.7,64
9,22.6,62
10,22.6,60
11,22.6,58
12,22.5,56
13,22.5,54
14,22.5,52
15,22.4,50
16,22.4,48
17,22.4,46
18,22.3,44
19,22.3,42
20,22.3,40
21,22.2,38
22,22.2,36
23,22.2,34
24,22.1,32
25,22.1,30
26,22.1,28
27,22.0,26
28,22.0,24
29,22.0,22
30,21.9,20
31,21.9,18
32,21.9,16
33,21.8,14
34,21.8,12
35,21.8,10
36,21.7,8
37,21.7,6
38,21.7,4
39,21.6,2
40,21.6,0
